ResearcherID;RecordID;LocationID;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;How long have you been in your office without leaving?;How many people are currently present in your office room?;How would you rate your current mood?;In this moment, how productive do you feel?;Smell source
1;P_16;Bolzano;4;2;4;3;2;4;2;3;31-60 minutes;2;Good;Productive;No smell
1;P_15;Bolzano;3;3;3;2;2;4;1;2;31-60 minutes;2;Good;Productive;No smell
1;P_16;Bolzano;5;3;3;3;1;4;3;4;31-60 minutes;2;Neutral;Productive;Green elements
1;P_15;Bolzano;3;4;4;2;2;2;2;2;61-120 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_15;Bolzano;4;4;4;2;1;4;1;4;3-30 minutes;1;Good;Productive;No smell
1;P_11;Bolzano;5;3;3;3;1;3;1;1;3-30 minutes;1;Neutral;Slightly unproductive;No smell
1;P_11;Bolzano;3;3;3;2;4;3;1;4;61-120 minutes;3;Neutral;Slighlty productive;Body odours
1;P_11;Bolzano;5;1;5;3;1;3;1;1;3-30 minutes;1;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;4;3;4;3;2;3;2;1;61-120 minutes;3;Neutral;Slighlty productive;Body odours
1;P_11;Bolzano;5;1;3;3;1;5;1;1;61-120 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_11;Bolzano;5;1;4;3;1;5;1;1;3-30 minutes;1;Good;Slighlty productive;No smell
1;P_11;Bolzano;4;1;3;3;1;5;1;1;61-120 minutes;2;Good;Slighlty productive;No smell
1;P_11;Bolzano;3;3;4;2;1;4;1;3;31-60 minutes;2;Good;Slighlty productive;No smell
1;P_04;Bolzano;2;3;4;2;2;2;1;5;31-60 minutes;3;Good;Productive;Stationery
1;P_15;Bolzano;4;4;4;2;2;3;1;2;3-30 minutes;3;Good;Productive;No smell
1;P_01;Bolzano;4;2;4;4;2;4;2;3;31-60 minutes;3;Neutral;Slightly unproductive;No smell
1;P_01;Bolzano;4;1;3;4;1;4;1;3;3-30 minutes;3;Good;Slighlty productive;No smell
1;P_13;Bolzano;2;2;3;1;2;4;1;4;31-60 minutes;2;Neutral;Unproductive;No smell
1;P_13;Bolzano;2;2;3;1;1;3;1;3;3-30 minutes;2;Neutral;Slighlty productive;No smell
1;P_13;Bolzano;3;2;4;1;1;4;1;3;31-60 minutes;2;Neutral;Neither unproductive nor productive;No smell
1;P_13;Bolzano;2;2;4;1;1;4;1;3;3-30 minutes;2;Good;Very productive;No smell
