Time;Participant_ID;Stimulus_ID;Smell_detected;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;Acceptability;Odour_intensity;Hedonic_tone;Smelliness;Satisfaction;Appropriatness
2025/11/12 7:13:04 PM CET;P21;C02;bergamot;4;4;3;4;2;1;2;2;Just acceptable;Very strong;2;Very smelly;Satisfied;Slightly
2025/11/13 4:08:59 PM CET;P05;C01;lemon;2;5;1;4;4;1;1;4;Just unacceptable;Very strong;-1;Very smelly;Unsatisfied;Slightly
2025/11/13 4:18:52 PM CET;P05;C08;lemon;3;4;4;2;2;1;2;4;Just acceptable;Strong;-1;Smelly;Unsatisfied;Slightly
2025/11/13 4:26:59 PM CET;P05;C07;lemon and vanilla;2;5;2;1;5;1;2;2;Just unacceptable;Very strong;-2;Smelly;Unsatisfied;Slightly
2025/11/13 4:35:11 PM CET;P05;C04;napkin;4;5;2;2;2;2;2;4;Just acceptable;Strong;3;Very smelly;Satisfied;Very
2025/11/13 4:44:10 PM CET;P05;C03;lemon;2;5;2;2;5;1;1;2;Just unacceptable;Strong;-2;Very smelly;Unsatisfied;Slightly
2025/11/13 5:14:37 PM CET;P05;C02;lemon;2;5;1;2;4;1;2;2;Just acceptable;Very strong;-2;Slightly smelly;Unsatisfied;Slightly
2025/11/13 5:22:38 PM CET;P05;C06;white musk;5;5;1;4;1;1;2;4;Clearly acceptable;Strong;3;Smelly;Satisfied;Moderately
2025/11/13 5:34:22 PM CET;P05;C09;sapone di marsiglia;3;5;4;1;2;1;2;2;Just acceptable;Distinct;-1;Slightly smelly;Unsatisfied;Moderately
2025/11/14 2:18:01 PM CET;P33;C04;air freshner or floor detergent;4;4;2;4;1;1;4;3;Clearly acceptable;Strong;1;Smelly;Satisfied;Moderately
2025/11/14 2:32:44 PM CET;P33;C07;air freshner or floor detergent;4;4;5;3;2;2;1;3;Clearly acceptable;Weak;2;Slightly smelly;Satisfied;Very
2025/11/14 2:41:47 PM CET;P33;C09;air freshners;4;4;5;2;1;2;1;1;Clearly acceptable;Very week;2;Slightly smelly;Satisfied;Very
2025/11/14 2:51:14 PM CET;P33;C03;wood and mountain herbs;5;5;2;4;1;1;4;2;Clearly acceptable;Strong;4 Very pleasant;Smelly;Satisfied;Very
2025/11/14 3:03:56 PM CET;P33;C02;wood;5;4;5;4;1;2;1;2;Clearly acceptable;Weak;4 Very pleasant;Slightly smelly;Satisfied;Perfectly
2025/11/14 4:08:38 PM CET;P21;C04;soap;5;4;4;4;1;1;4;4;Clearly acceptable;Strong;3;Smelly;Satisfied;Moderately
2025/11/14 4:17:03 PM CET;P21;C06;soap;4;4;4;4;1;1;3;2;Clearly acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/11/14 4:25:33 PM CET;P21;C08;talcum;4;2;2;2;1;4;2;1;Clearly acceptable;Very week;2;Slightly smelly;Satisfied;Very
2025/11/14 4:33:45 PM CET;P21;C03;forest;4;4;4;4;2;1;4;2;Just acceptable;Very strong;2;Smelly;Satisfied;Slightly
2025/11/14 4:43:15 PM CET;P21;C07;soap;4;2;2;2;1;4;2;2;Clearly acceptable;Weak;2;Slightly smelly;Satisfied;Very
2025/11/14 5:34:50 PM CET;P27;C03;air freshner;4;5;1;3;2;1;3;3;Clearly acceptable;Distinct;3;Smelly;Satisfied;Moderately
2025/11/14 5:44:35 PM CET;P27;C02;air freshner;4;3;3;3;2;2;2;3;Just acceptable;Distinct;2;Smelly;Satisfied;Moderately
